symbol,model,type,sharpe,sortino,calmar,max_drawdown,win_rate,avg_win,avg_loss,profit_factor
AAPL,arima,Baseline,27.957925876640992,41770885760.4082,0.0,0.0,0.962,0.27352582854402835,0.0,1315659235296.7764
AAPL,arima,GA-Optimized,10.324548005867523,60.353683912062685,26.31277766658364,-0.5419711606122609,0.43,0.13525772646302275,-0.026174642105980767,37.0338221140442
AAPL,naive_momentum,Baseline,24.077946067998568,481.7394955178149,333.5234254712187,-0.1592565384800009,0.922,0.2289822977116855,-0.009576359896935695,612.3925095012414
AAPL,naive_momentum,GA-Optimized,26.09231932543767,37712493368.847435,0.0,0.0,0.904,0.26279466596645273,0.0,1187831890168.3665
AAPL,random_forest,Baseline,27.957925876640992,41770885760.4082,0.0,0.0,0.962,0.27352582854402835,0.0,1315659235296.7764
AAPL,random_forest,GA-Optimized,11.01327369257583,72.63309554074077,26.33828452759779,-0.7714590105960599,0.598,0.1414294017636416,-0.0240499952989651,21.44282713514228
AMZN,arima,Baseline,17.887697154718076,73.8869749300396,31.19756976481911,-0.9519029820164124,0.808,0.15418006398008446,-0.04371439436643194,18.50522609306275
AMZN,arima,GA-Optimized,10.668858241792554,49.49047957189482,67.46141098880662,-0.09053842201981,0.46,0.053099397340823785,-0.004953262488708579,129.7694559498047
AMZN,naive_momentum,Baseline,16.987446257219226,71.67046839072863,35.81689135339603,-0.9994964011964829,0.816,0.19165137919750946,-0.10090549959136773,10.914376382314687
AMZN,naive_momentum,GA-Optimized,25.173490159129546,1012.806860782759,1468.4889592653367,-0.07329127971717364,0.88,0.48560662490417045,-0.010946981178181684,1774.3946646113836
AMZN,random_forest,Baseline,17.887697154718076,73.8869749300396,31.19756976481911,-0.9519029820164124,0.808,0.15418006398008446,-0.04371439436643194,18.50522609306275
AMZN,random_forest,GA-Optimized,18.60149871677242,114.89418021031618,323.79690380577784,-0.08906104790705939,0.736,0.1560603205427025,-0.01635045935473684,270.18858855991806
MSFT,arima,Baseline,12.494251828009638,134.7935774614662,510.6065062152115,-0.009844261139041304,0.504,0.03962287360290196,-0.002915746072080727,856.1242904123892
MSFT,arima,GA-Optimized,12.494254435980615,134.78716337563074,510.5859949906564,-0.009844673569744493,0.504,0.0396229435417742,-0.0029158548548854912,856.0938617878513
MSFT,naive_momentum,Baseline,34.89670954430347,46301445196.33744,0.0,0.0,0.962,0.30319302379070157,0.0,1458358444433.2747
MSFT,naive_momentum,GA-Optimized,34.89672645813403,46301570412.273056,0.0,0.0,0.962,0.30319384373483044,0.0,1458362388364.5344
MSFT,random_forest,Baseline,18.284993674975794,132.35659175071578,138.5529297463125,-0.1389670165027911,0.736,0.10425036485936545,-0.013431943887296302,238.01552596152652
MSFT,random_forest,GA-Optimized,18.28496742423904,132.35709271773513,138.55270085791187,-0.1389670998769135,0.736,0.10425025788796752,-0.013432012675190544,238.0140628119966
