stock,model,final_pnl,mean_pnl
stock_0,persistence,-2.455987628655448,-0.006619912745702016
stock_0,linear,-2.1657510582049735,-0.005837603930471627
stock_0,rf,0.0,0.0
stock_0,xg,0.0,0.0
stock_0,lstm,0.3345058258504574,0.0009016329537748178
stock_0,ensemble,-2.538355362707607,-0.0068419282013682135
stock_1,persistence,-2.893867755674841,-0.007800182629851324
stock_1,linear,-2.7273429861923777,-0.00735132880375304
stock_1,rf,0.0,0.0
stock_1,xg,0.0,0.0
stock_1,lstm,-2.483318203103943,-0.006693580062274779
stock_1,ensemble,-3.126630590898422,-0.008427575716707337
stock_2,persistence,0.36642872984430763,0.0009876785171005597
stock_2,linear,0.5580471565169995,0.0015041702331994597
stock_2,rf,0.0,0.0
stock_2,xg,0.0,0.0
stock_2,lstm,0.3773921131901359,0.0010172294156068353
stock_2,ensemble,0.4961745713446888,0.0013373977664277326
stock_3,persistence,-1.7709914156573139,-0.004773561767270388
stock_3,linear,-1.7375135674084725,-0.004683324979537662
stock_3,rf,0.0,0.0
stock_3,xg,0.0,0.0
stock_3,lstm,-0.3296572826538626,-0.000888564104188309
stock_3,ensemble,-1.886756521161082,-0.005085597092078388
stock_4,persistence,-2.7346352958104148,-0.0073709846248259155
stock_4,linear,-3.3097952850577754,-0.008921281091799934
stock_4,rf,0.0,0.0
stock_4,xg,0.0,0.0
stock_4,lstm,0.9671777483490991,0.0026069481087576795
stock_4,ensemble,-2.9455484824821414,-0.007939483780275314
stock_5,persistence,-3.1826832479928155,-0.008578661045802738
stock_5,linear,-2.8713646690426247,-0.007739527409818395
stock_5,rf,0.0,0.0
stock_5,xg,0.0,0.0
stock_5,lstm,-2.6522506473127256,-0.0071489235776623335
stock_5,ensemble,-3.5045401202730337,-0.009446199785102517
stock_6,persistence,-3.4837960689501397,-0.009390285900135147
stock_6,linear,-3.5885645105357478,-0.009672680621390156
stock_6,rf,0.0,0.0
stock_6,xg,0.0,0.0
stock_6,lstm,-3.683083351499419,-0.009927448386790886
stock_6,ensemble,-4.113781831415835,-0.01108836073157907
stock_7,persistence,-1.6702348971684233,-0.004501980854901411
stock_7,linear,-1.2823349940693043,-0.003456428555442869
stock_7,rf,0.0,0.0
stock_7,xg,0.0,0.0
stock_7,lstm,1.0029515005691496,0.0027033733168979773
stock_7,ensemble,-1.5641564678825044,-0.004216055169494621
